region,NPP,NDC
Ahafo Region,113851,130106
Ashanti Region,1366800,697076
Bono Region,192773,235681
Bono East Region,124811,216691
Central Region,382749,562620
Eastern Region,493234,453234
Greater Accra Regiion,681535,12600832
North East Region,134800,111051
Nothern Region,370928,529456
Oti Region,86489,182470
Savannah Region,56774,134563
Upper East Region,106700,361597
Upper West Region,89906,242852
Volta Region,56699,584234
Western Region,275231,423245
Western North Region,124024,202689
